HTS Number,Description,Country,Custom Value 2009,Custom Value 2011,Custom Value 2014,Custom Value - Percent Change 2011 - 2014,"Quantity 2009, kg","Quantity 2011, kg",Quantity 2014,Quantity - Percent Change 2011 - 2014
9011100,"Coffee, not roasted, not decaffeinated ",India,4229780,12772478,6584190,-48.45%,1573291,3684121,2193904,-40.40%
9011100,"Coffee, not roasted, not decaffeinated ",Bolivia,4946477,5542767,5119030,-7.64%,1316002,852470,1018016,19.40%
9011100,"Coffee, not roasted, not decaffeinated ",Congo (DROC),94396,520110,4953863,852.46%,38401,95925,1179858,1130.00%
9011100,"Coffee, not roasted, not decaffeinated ",Burundi,4035825,9385888,4272878,-54.48%,1210397,1711455,948875,-44.60%
9011100,"Coffee, not roasted, not decaffeinated ",Germany,8735140,6667562,3350844,-49.74%,3264442,1236402,736511,-40.40%
9011100,"Coffee, not roasted, not decaffeinated ",Cameroon,2105511,6489791,3223283,-50.33%,1579204,2626327,1132397,-56.90%
9011100,"Coffee, not roasted, not decaffeinated ",Belgium,2398047,6499963,3085117,-52.54%,1081123,2711621,936342,-65.50%
9011100,"Coffee, not roasted, not decaffeinated ",Laos,2484978,7567541,2633526,-65.20%,1567440,3006980,1292040,-57.00%
9011100,"Coffee, not roasted, not decaffeinated ",Jamaica,3509873,1879853,2411845,28.30%,222241,109616,355390,224.20%
9011100,"Coffee, not roasted, not decaffeinated ",Canada,77079,22507,2186907,9616.56%,19255,2529,269386,10551.90%
9011100,"Coffee, not roasted, not decaffeinated ",Malawi,622627,544624,1477840,171.35%,181227,158185,425687,169.10%
9011100,"Coffee, not roasted, not decaffeinated ",Yemen,1824898,424011,1373848,224.01%,222720,51556,113411,120.00%
9011100,"Coffee, not roasted, not decaffeinated ",Dominican Rep,475124,3729713,889882,-76.14%,125258,643944,129902,-79.80%
9011100,"Coffee, not roasted, not decaffeinated ",Djibouti,178572,816348,737631,-9.64%,36000,111600,151920,36.10%
9011100,"Coffee, not roasted, not decaffeinated ",Israel,118566,58753,576208,880.73%,10448,5278,45859,768.90%
9011100,"Coffee, not roasted, not decaffeinated ",Thailand,251549,487606,563855,15.64%,121374,101394,121943,20.30%
9011100,"Coffee, not roasted, not decaffeinated ",Switzerland,15500190,1020628,562340,-44.90%,5964479,188981,104913,-44.50%
9011100,"Coffee, not roasted, not decaffeinated ",Hong Kong,0,0,544946,#DIV/0!,0,0,114489,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Italy,352172,531079,514475,-3.13%,61164,78468,65099,-17.00%
9011100,"Coffee, not roasted, not decaffeinated ",South Africa,231247,492828,496817,0.81%,75055,109872,93480,-14.90%
9011100,"Coffee, not roasted, not decaffeinated ",Japan,426528,2832,446571,15668.75%,198134,95,114147,120054.70%
9011100,"Coffee, not roasted, not decaffeinated ",Lebanon,198270,0,436800,#DIV/0!,26990,0,47800,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Zambia,325792,108361,404339,273.14%,92100,19200,75001,290.60%
9011100,"Coffee, not roasted, not decaffeinated ",Congo (ROC),0,100408,403693,302.05%,0,19253,133935,595.70%
9011100,"Coffee, not roasted, not decaffeinated ",Oman,0,0,363176,#DIV/0!,0,0,76800,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Haiti,3715,443933,351397,-20.84%,953,57771,58249,0.80%
9011100,"Coffee, not roasted, not decaffeinated ",Malaysia,10480,3928,235272,5889.61%,1441,850,39143,4505.10%
9011100,"Coffee, not roasted, not decaffeinated ",Singapore,6400,1473844,220990,-85.01%,1391,267504,53651,-79.90%
9011100,"Coffee, not roasted, not decaffeinated ",New Zealand,0,0,189971,#DIV/0!,0,0,39036,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",United Kingdom,0,0,93899,#DIV/0!,0,0,21137,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Zimbabwe,336272,124870,92160,-26.20%,156420,19200,19200,0.00%
9011100,"Coffee, not roasted, not decaffeinated ",Guinea,0,1494991,75344,-94.96%,0,577405,19200,-96.70%
9011100,"Coffee, not roasted, not decaffeinated ",Namibia,0,0,69594,#DIV/0!,0,0,18000,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Madagascar,84525,1697257,48810,-97.12%,36000,684133,18000,-97.40%
9011100,"Coffee, not roasted, not decaffeinated ",Philippines,20800,8847,43002,386.06%,477,4920,7273,47.80%
9011100,"Coffee, not roasted, not decaffeinated ",Liberia,0,0,26010,#DIV/0!,0,0,17340,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Spain,0,341135,25705,-92.46%,0,109080,8200,-92.50%
9011100,"Coffee, not roasted, not decaffeinated ",Taiwan,25594,0,17200,#DIV/0!,19200,0,1808,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Australia,35400,4065,15465,280.44%,1770,75,529,605.30%
9011100,"Coffee, not roasted, not decaffeinated ",Norway,18969,0,12230,#DIV/0!,11504,0,1100,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Nepal,62700,11325,10872,-4.00%,11400,2390,900,-62.30%
9011100,"Coffee, not roasted, not decaffeinated ",Turkey,0,4176,9100,117.91%,0,1694,1434,-15.30%
9011100,"Coffee, not roasted, not decaffeinated ",Bosnia-Hercegov,12748,8595,8416,-2.08%,4275,1630,1710,4.90%
9011100,"Coffee, not roasted, not decaffeinated ",Portugal,0,246989,5561,-97.75%,0,7680,617,-92.00%
9011100,"Coffee, not roasted, not decaffeinated ",Poland,25644,2129,2142,0.61%,10232,1170,764,-34.70%
9011100,"Coffee, not roasted, not decaffeinated ",Argentina,2096,0,0,#DIV/0!,381,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Austria,19320,0,0,#DIV/0!,5690,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Bangladesh,0,50304,0,-100.00%,0,19200,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Bulgaria,133376,0,0,#DIV/0!,63000,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Chile,0,84868,0,-100.00%,0,10020,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Cote d`Ivoire,86623,131984,0,-100.00%,68823,19250,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Croatia,0,2160,0,-100.00%,0,450,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Egypt,6750,0,0,#DIV/0!,900,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Estonia,0,108246,0,-100.00%,0,18000,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",France,9282,12017,0,-100.00%,448,608,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Georgia,5453,0,0,#DIV/0!,1200,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Guinea-Bissau,0,160896,0,-100.00%,0,76800,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Jordan,0,36679,0,-100.00%,0,4569,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Korea,0,4870,0,-100.00%,0,1303,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Netherlands,163016,1111141,0,-100.00%,39623,384591,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Romania,0,11469,0,-100.00%,0,3823,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Russia,3872,0,0,#DIV/0!,842,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Saudi Arabia,2800,0,0,#DIV/0!,2950,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Sweden,0,25216,0,-100.00%,0,4150,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Syria,2112,0,0,#DIV/0!,769,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Togo,107531,2032854,0,-100.00%,73716,846756,0,-100.00%
9011100,"Coffee, not roasted, not decaffeinated ",Ukraine,10682,0,0,#DIV/0!,2482,0,0,N/A 
9011100,"Coffee, not roasted, not decaffeinated ",Venezuela,545307,0,0,#DIV/0!,377320,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Belgium ,0,30498,0,-100.00%,0,2793,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Bolivia ,207163,217049,102960,-52.56%,52079,32729,12079,-63.10%
9011200,"Coffee, not roasted, decaffeinated ",Brazil ,12359446,53289746,68510981,28.56%,3623338,8141747,15324899,88.20%
9011200,"Coffee, not roasted, decaffeinated ",Burundi ,0,127174,0,-100.00%,0,18840,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Cameroon ,0,4489062,562528,-87.47%,0,1375084,230313,-83.30%
9011200,"Coffee, not roasted, decaffeinated ",Canada ,5272105,5000378,9582398,91.63%,966349,704089,1638334,132.70%
9011200,"Coffee, not roasted, decaffeinated ",China ,0,455097,6957658,1428.83%,0,76586,1520097,1884.80%
9011200,"Coffee, not roasted, decaffeinated ",Colombia ,54585249,88206130,52564289,-40.41%,15423198,13304892,10944133,-17.70%
9011200,"Coffee, not roasted, decaffeinated ",Congo (ROC) ,0,142581,0,-100.00%,0,18828,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Costa Rica ,6018498,11005492,4139678,-62.39%,1409204,1571102,673529,-57.10%
9011200,"Coffee, not roasted, decaffeinated ",Ecuador ,0,13205,6873,-47.95%,0,4878,2089,-57.20%
9011200,"Coffee, not roasted, decaffeinated ",El Salvador ,15305696,8043840,3674272,-54.32%,3689912,1303065,858159,-34.10%
9011200,"Coffee, not roasted, decaffeinated ",Ethiopia ,1304136,3260516,3118524,-4.35%,320594,472831,588392,24.40%
9011200,"Coffee, not roasted, decaffeinated ",Georgia ,41009,0,0,#DIV/0!,19020,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Germany ,103200998,166204681,104157631,-37.33%,35893498,30546314,29635087,-3.00%
9011200,"Coffee, not roasted, decaffeinated ",Ghana ,0,6750,0,-100.00%,0,544,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Guatemala ,18388018,17638828,5141731,-70.85%,4359244,2431540,870051,-64.20%
9011200,"Coffee, not roasted, decaffeinated ",Guinea ,40336,350650,0,-100.00%,7261,60122,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Honduras ,4197547,23433997,28259150,20.59%,1067823,3549518,5838932,64.50%
9011200,"Coffee, not roasted, decaffeinated ",Iceland ,0,0,22237,#DIV/0!,0,0,9570,N/A 
9011200,"Coffee, not roasted, decaffeinated ",India ,185135,7042411,2748472,-60.97%,58838,2239658,830839,-62.90%
9011200,"Coffee, not roasted, decaffeinated ",Indonesia ,12102483,23146748,23649215,2.17%,2657022,4818554,6616767,37.30%
9011200,"Coffee, not roasted, decaffeinated ",Ireland ,0,0,3953,#DIV/0!,0,0,262,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Israel ,3249,0,0,#DIV/0!,279,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Italy ,65874,37275,59599,59.89%,12633,5848,6226,6.50%
9011200,"Coffee, not roasted, decaffeinated ",Jamaica ,0,21593,61732,185.89%,0,685,5018,632.60%
9011200,"Coffee, not roasted, decaffeinated ",Japan ,0,0,242347,#DIV/0!,0,0,52987,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Kenya ,669653,226211,384673,70.05%,132005,51680,82890,60.40%
9011200,"Coffee, not roasted, decaffeinated ",Laos ,0,0,1549067,#DIV/0!,0,0,239004,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Madagascar ,0,405137,0,-100.00%,0,79526,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Malaysia ,37698,39435,0,-100.00%,6576,6107,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Mexico ,28098984,60859703,42113352,-30.80%,8190289,10486282,9696622,-7.50%
9011200,"Coffee, not roasted, decaffeinated ",Netherlands ,23321,0,0,#DIV/0!,2304,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Nicaragua ,4071661,16308721,7034015,-56.87%,968694,2227569,1402924,-37.00%
9011200,"Coffee, not roasted, decaffeinated ",Nigeria ,35243,0,0,#DIV/0!,7264,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Panama ,0,172761,489273,183.21%,0,26605,86134,223.80%
9011200,"Coffee, not roasted, decaffeinated ",Papua New Guin ,354901,1523236,1217139,-20.10%,73077,248250,203357,-18.10%
9011200,"Coffee, not roasted, decaffeinated ",Peru ,22820632,18720344,25163375,34.42%,5587662,2583038,5051708,95.60%
9011200,"Coffee, not roasted, decaffeinated ",Portugal ,0,0,33643,#DIV/0!,0,0,3332,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Rwanda ,0,7996542,152730,-98.09%,0,1207137,39442,-96.70%
9011200,"Coffee, not roasted, decaffeinated ",Singapore ,0,293490,0,-100.00%,0,43709,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Spain ,82867,450289,930819,106.72%,25000,105138,213885,103.40%
9011200,"Coffee, not roasted, decaffeinated ",Switzerland ,1968412,0,33478,#DIV/0!,634800,0,18380,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Tanzania ,230885,0,496200,#DIV/0!,46977,0,112909,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Thailand ,246396,857268,0,-100.00%,119111,258859,0,-100.00%
9011200,"Coffee, not roasted, decaffeinated ",Timor-Leste ,0,0,120161,#DIV/0!,0,0,30030,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Uganda ,246837,4293302,4661893,8.59%,61110,1141011,1558770,36.60%
9011200,"Coffee, not roasted, decaffeinated ",United Arab Em ,111041,0,0,#DIV/0!,40070,0,0,N/A 
9011200,"Coffee, not roasted, decaffeinated ",Vietnam ,5869055,31602247,52329910,65.59%,3503340,9774123,16426772,68.10%
9012100,"Coffee, roasted, not decaffeinated ",Albania ,0,7000,46696,567.09%,0,1000,7434,643.40%
9012100,"Coffee, roasted, not decaffeinated ",Argentina ,0,0,5985,#DIV/0!,0,0,1021,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Australia ,6906,15470,262341,1595.80%,727,492,22335,4439.60%
9012100,"Coffee, roasted, not decaffeinated ",Austria ,119814,398764,244087,-38.79%,12373,30400,42040,38.30%
9012100,"Coffee, roasted, not decaffeinated ",Belgium ,1413313,1541662,1624774,5.39%,152671,144038,178482,23.90%
9012100,"Coffee, roasted, not decaffeinated ",Belize ,0,6240,0,-100.00%,0,169,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Bosnia-Hercegov ,991214,944993,1515928,60.42%,199995,167292,265226,58.50%
9012100,"Coffee, roasted, not decaffeinated ",Brazil ,15801731,13934838,7208634,-48.27%,2378880,1642234,868859,-47.10%
9012100,"Coffee, roasted, not decaffeinated ",Bulgaria ,11247,27525,68816,150.01%,4080,4607,9610,108.60%
9012100,"Coffee, roasted, not decaffeinated ",Cambodia ,0,6732,0,-100.00%,0,588,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Cameroon ,0,0,3790,#DIV/0!,0,0,531,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Canada ,145559331,345897689,343223580,-0.77%,19148413,31420919,33724487,7.30%
9012100,"Coffee, roasted, not decaffeinated ",Cayman Is ,6650,0,0,#DIV/0!,1897,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Chile ,0,0,2286,#DIV/0!,0,0,67,N/A 
9012100,"Coffee, roasted, not decaffeinated ",China ,551277,666256,828966,24.42%,111194,103760,95268,-8.20%
9012100,"Coffee, roasted, not decaffeinated ",Colombia ,22586360,28542742,33657789,17.92%,2564405,2922832,3813211,30.50%
9012100,"Coffee, roasted, not decaffeinated ",Costa Rica ,2265912,2440544,3668781,50.33%,275415,277571,282428,1.70%
9012100,"Coffee, roasted, not decaffeinated ",Cote d`Ivoire ,0,2186,0,-100.00%,0,1700,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Croatia ,193701,377359,326066,-13.59%,47262,65233,51552,-21.00%
9012100,"Coffee, roasted, not decaffeinated ",Cyprus ,9352,44731,57766,29.14%,840,2165,3689,70.40%
9012100,"Coffee, roasted, not decaffeinated ",Czech Republic ,0,0,55100,#DIV/0!,0,0,7364,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Denmark ,0,34947,321368,819.59%,0,961,7924,724.60%
9012100,"Coffee, roasted, not decaffeinated ",Dominican Rep ,10983754,3734344,3861680,3.41%,3208499,900748,1226898,36.20%
9012100,"Coffee, roasted, not decaffeinated ",Ecuador ,60252,46124,202292,338.58%,10500,3359,14093,319.60%
9012100,"Coffee, roasted, not decaffeinated ",Egypt ,261876,239472,455034,90.02%,29940,31831,57794,81.60%
9012100,"Coffee, roasted, not decaffeinated ",El Salvador ,395371,134441,64100,-52.32%,78866,23581,10254,-56.50%
9012100,"Coffee, roasted, not decaffeinated ",Ethiopia ,4779,0,79030,#DIV/0!,877,0,20398,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Finland ,15888,26523,19767,-25.47%,1980,2340,1820,-22.20%
9012100,"Coffee, roasted, not decaffeinated ",France ,579198,444167,246045,-44.61%,34070,31666,14072,-55.60%
9012100,"Coffee, roasted, not decaffeinated ",Germany ,3975413,13417698,7291001,-45.66%,513690,1663810,1147001,-31.10%
9012100,"Coffee, roasted, not decaffeinated ",Ghana ,0,2400,0,-100.00%,0,1200,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Greece ,2258700,1734380,1733049,-0.08%,202310,135857,152444,12.20%
9012100,"Coffee, roasted, not decaffeinated ",Guatemala ,133662,266319,122547,-53.98%,50072,43138,37749,-12.50%
9012100,"Coffee, roasted, not decaffeinated ",Guinea ,7515,0,0,#DIV/0!,1681,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Guinea-Bissau ,9233,0,0,#DIV/0!,1977,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Haiti ,24420,4879,30067,516.25%,5342,649,3173,388.90%
9012100,"Coffee, roasted, not decaffeinated ",Honduras ,449858,277893,196565,-29.27%,69748,42024,21165,-49.60%
9012100,"Coffee, roasted, not decaffeinated ",Hong Kong ,0,0,20150,#DIV/0!,0,0,747,N/A 
9012100,"Coffee, roasted, not decaffeinated ",India ,536606,333797,683259,104.69%,160895,72596,162888,124.40%
9012100,"Coffee, roasted, not decaffeinated ",Indonesia ,991411,31644,604012,1808.77%,425975,2112,139752,6517.00%
9012100,"Coffee, roasted, not decaffeinated ",Ireland ,11440,12162,6504,-46.52%,1155,1536,846,-44.90%
9012100,"Coffee, roasted, not decaffeinated ",Israel ,545971,201471,120738,-40.07%,72721,21087,10965,-48.00%
9012100,"Coffee, roasted, not decaffeinated ",Italy ,33714753,50847488,70132074,37.93%,3600391,5005974,6543912,30.70%
9012100,"Coffee, roasted, not decaffeinated ",Jamaica ,1076682,513639,424568,-17.34%,102105,30828,13232,-57.10%
9012100,"Coffee, roasted, not decaffeinated ",Japan ,775235,309821,103788,-66.50%,59187,14150,5339,-62.30%
9012100,"Coffee, roasted, not decaffeinated ",Jordan ,117845,338596,553888,63.58%,19970,34611,51750,49.50%
9012100,"Coffee, roasted, not decaffeinated ",Kenya ,25545,0,68079,#DIV/0!,12497,0,14302,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Korea ,5731,10949,140115,1179.71%,960,394,10778,2635.50%
9012100,"Coffee, roasted, not decaffeinated ",Kosovo ,0,0,119636,#DIV/0!,0,0,18250,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Laos ,8645,0,8185,#DIV/0!,1511,0,684,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Lebanon ,1100416,1091745,1739057,59.29%,155773,136256,185463,36.10%
9012100,"Coffee, roasted, not decaffeinated ",Lithuania ,0,0,5689,#DIV/0!,0,0,727,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Macedonia ,180224,55714,91626,64.46%,31452,10076,23254,130.80%
9012100,"Coffee, roasted, not decaffeinated ",Malaysia ,436589,456194,1046501,129.40%,173579,132811,41135,-69.00%
9012100,"Coffee, roasted, not decaffeinated ",Mexico ,12677175,45102406,29907281,-33.69%,3508776,6730329,6676375,-0.80%
9012100,"Coffee, roasted, not decaffeinated ",Montenegro ,12724,17134,0,-100.00%,2330,8819,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Netherlands ,1544682,2086757,16033705,668.36%,197465,263415,705534,167.80%
9012100,"Coffee, roasted, not decaffeinated ",New Zealand ,0,4552,17513,284.73%,0,97,739,661.90%
9012100,"Coffee, roasted, not decaffeinated ",Nicaragua ,30580,312073,644545,106.54%,5776,24054,54050,124.70%
9012100,"Coffee, roasted, not decaffeinated ",Norway ,13973,15593,21102,35.33%,1500,1657,1680,1.40%
9012100,"Coffee, roasted, not decaffeinated ",Panama ,89796,31463,27057,-14.00%,11209,2590,1204,-53.50%
9012100,"Coffee, roasted, not decaffeinated ",Papua New Guin ,0,0,3279,#DIV/0!,0,0,16,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Peru ,10545,42125,104134,147.20%,1284,4744,12897,171.90%
9012100,"Coffee, roasted, not decaffeinated ",Philippines ,13042,45553,145926,220.34%,2209,9766,32759,235.40%
9012100,"Coffee, roasted, not decaffeinated ",Poland ,363312,40392,435516,978.22%,48145,6292,30367,382.60%
9012100,"Coffee, roasted, not decaffeinated ",Portugal ,242455,884805,1265664,43.04%,25014,108625,130471,20.10%
9012100,"Coffee, roasted, not decaffeinated ",Romania ,2304,0,6692,#DIV/0!,480,0,185,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Rwanda ,65475,0,0,#DIV/0!,17999,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Saudi Arabia ,30366,50254,65403,30.14%,9712,13097,38668,195.20%
9012100,"Coffee, roasted, not decaffeinated ",Senegal ,0,4275,2420,-43.39%,0,1319,760,-42.40%
9012100,"Coffee, roasted, not decaffeinated ",Serbia ,151745,397546,638120,60.51%,41262,64980,98046,50.90%
9012100,"Coffee, roasted, not decaffeinated ",Singapore ,167681,461255,15283,-96.69%,35128,42087,599,-98.60%
9012100,"Coffee, roasted, not decaffeinated ",Slovenia ,33665,9402,3553,-62.21%,10710,1257,660,-47.50%
9012100,"Coffee, roasted, not decaffeinated ",South Africa ,2471,5082,285583,5519.50%,566,972,22197,2183.60%
9012100,"Coffee, roasted, not decaffeinated ",Spain ,11197,617011,402967,-34.69%,990,49819,36041,-27.70%
9012100,"Coffee, roasted, not decaffeinated ",Sri Lanka ,23630,0,0,#DIV/0!,630,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",Sweden ,22727699,29472782,6330567,-78.52%,3733295,3354072,608142,-81.90%
9012100,"Coffee, roasted, not decaffeinated ",Switzerland ,22270991,54231402,48177772,-11.16%,596510,1053397,2602351,147.00%
9012100,"Coffee, roasted, not decaffeinated ",Syria ,15888,78032,68396,-12.35%,2050,15884,10600,-33.30%
9012100,"Coffee, roasted, not decaffeinated ",Taiwan ,23078,6476,10421,60.92%,1904,1306,4355,233.50%
9012100,"Coffee, roasted, not decaffeinated ",Thailand ,40624,25051,55932,123.27%,10058,6468,11582,79.10%
9012100,"Coffee, roasted, not decaffeinated ",Trin & Tobago ,11918,6178,5557,-10.05%,771,375,70,-81.30%
9012100,"Coffee, roasted, not decaffeinated ",Turkey ,247503,331082,516173,55.90%,24285,42659,88587,107.70%
9012100,"Coffee, roasted, not decaffeinated ",Uganda ,0,145158,0,-100.00%,0,10227,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Ukraine ,9774,0,0,#DIV/0!,816,0,0,N/A 
9012100,"Coffee, roasted, not decaffeinated ",United Kingdom ,3528647,4417435,3261191,-26.17%,237121,280278,208081,-25.80%
9012100,"Coffee, roasted, not decaffeinated ",Venezuela ,74553,9063,0,-100.00%,8768,272,0,-100.00%
9012100,"Coffee, roasted, not decaffeinated ",Vietnam ,2640653,3535886,4788681,35.43%,627455,997402,1074542,7.70%
9012100,"Coffee, roasted, not decaffeinated ",Yemen ,2752,0,0,#DIV/0!,160,0,0,N/A 
9012200,"Coffee, roasted, decaffeinated ",Argentina ,0,11361,2768,-75.64%,0,3518,493,-86.00%
9012200,"Coffee, roasted, decaffeinated ",Australia ,0,0,31983,#DIV/0!,0,0,2160,N/A 
9012200,"Coffee, roasted, decaffeinated ",Austria ,118415,80926,44615,-44.87%,6225,3900,2841,-27.20%
9012200,"Coffee, roasted, decaffeinated ",Belgium ,349917,21009,21446,2.08%,40698,2085,1883,-9.70%
9012200,"Coffee, roasted, decaffeinated ",Bosnia-Hercegov ,0,0,134758,#DIV/0!,0,0,22276,N/A 
9012200,"Coffee, roasted, decaffeinated ",Brazil ,2041765,7059117,419147,-94.06%,511730,1190019,79890,-93.30%
9012200,"Coffee, roasted, decaffeinated ",Cameroon ,0,566372,0,-100.00%,0,156800,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Canada ,23554003,55283212,30594982,-44.66%,2563323,5529576,3372930,-39.00%
